Name,Attack K,Attack E,Attack TA,Attack Atk%,Attack Atk% FBSO,Attack Atk% Trans,Attack Kill%,Attack K/S,Attack Error%,Attack ?,Serve SA,Serve SE,Serve TA,Serve Pct,Serve Eff,Serve Rtg.,Serve 0,Serve 1,Serve 2,Serve 3,Serve ?,Receive 3,Receive 2,Receive 1,Receive 0,Receive TA,Receive ?,Receive Pass%,Perfect PP%,Good GP%,Set Ast,Set TA,Set SE,Set A/S,Set PCT,Dig DS,Dig DE,Block BS,Block BA,Block BE,Block B/S,Sets Sets Played
"Timo Lohmus",3,1,6,0.33,0.5,0,0.5,3,0.17,0,1,1,4,0.75,0,1.75,1,,2,1,0,1,4,3,,8,0,1.75,0.12,0.62,1,2,0,1,1,2,0,,,,,1
"Max Schulz",5,3,9,0.22,0.5,0,0.56,5,0.33,0,0,1,3,0.67,-0.33,2.33,,1,,2,0,3,2,2,,7,0,2.14,0.43,0.71,1,2,0,1,0.5,1,0,0,4,0,0,1
"Hiago Crins",0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,1.67,,2,,1,0,,,,,,,,,,,,,,,1,0,0,2,0,0,1
"Mihkel Varblane",2,0,2,1,1,0,1,2,0,0,0,0,2,1,0,1,,1,,,0,,,,,,,,,,,,,,,2,0,0,2,0,0,1
"Alvaro Gimeno Rubio",3,2,6,0.17,0.25,0,0.5,3,0.33,0,1,1,7,0.86,0,1.6,1,2,,2,0,,,,,,,,,,0,2,0,0,0,3,0,0,1,0,0,1
"Robbe Ponseele",,,,,,,,,,,1,1,2,0.5,0,1.5,1,,,1,0,,,,,,,,,,,,,,,,,,,,,1
"Lucas Lorente López",,,,,,,,,,,0,0,3,1,0,2.33,,1,,2,0,,,,,,,,,,10,18,0,10,0.56,1,0,0,1,0,0,1
"Bert Dufraing",,,,,,,,,,,,,,,,,,,,,,1,,1,,2,0,2,0.5,0.5,,,,,,1,0,,,,,1
"Lindemans Aalst",10,4,26,0.23,0.33,0.09,0.38,10,0.15,0,0,5,22,0.77,-0.23,2.18,,6,6,10,0,5,2,7,,17,3,1.86,0.36,0.5,8,23,0,8,0.35,6,1,,,,,1
"Greenyard Maaseik",13,6,24,0.29,0.47,0,0.54,13,0.25,0,3,4,24,0.83,-0.04,1.81,3,7,2,9,0,5,6,6,,17,0,1.94,0.29,0.65,12,24,0,12,0.52,11,0,0,10,0,0,1
