Name,Sets Sets Played,Serve SA,Serve SE,Serve TA,Serve Pct,Serve Eff,Serve Rtg.,Serve 0,Serve 1,Serve 2,Serve 3,Serve ?,Receive 3,Receive 2,Receive 1,Receive 0,Receive TA,Receive ?,Receive Pass%,Perfect PP%,Good GP%,Set Ast,Set TA,Set SE,Set A/S,Set PCT,Dig DS,Dig DE,Attack K,Attack E,Attack TA,Attack Atk%,Attack Atk% FBSO,Attack Atk% Trans,Attack Kill%,Attack K/S,Attack Error%,Attack ?,Block BS,Block BA,Block BE,Block B/S
"Timo Lohmus",1,1,1,4,0.75,0,1.75,1,,2,1,0,1,3,3,,7,0,1.71,0.14,0.57,1,2,1,1,0.5,1,0,3,1,6,0.33,0.5,0,0.5,3,0.17,0,,,,
"Max Schulz",1,0,1,3,0.67,-0.33,2.33,,1,,2,0,3,3,2,,8,0,2.12,0.38,0.75,1,2,0,1,0.5,1,1,5,3,9,0.22,0.5,0,0.56,5,0.33,0,0,2,0,0
"Hiago Crins",1,0,0,3,1,0,1.67,,2,,1,0,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
"Mihkel Varblane",1,0,0,2,1,0,1,,1,,,0,,,,,,,,,,,,,,,2,0,2,0,2,1,1,0,1,2,0,0,1,1,0,1
"Alvaro Gimeno Rubio",1,1,1,7,0.86,0,1.6,1,2,,2,0,,,,,,,,,,0,2,0,0,0,3,0,3,2,6,0.17,0.25,0,0.5,3,0.33,0,0,1,0,0
"Robbe Ponseele",1,1,1,2,0.5,0,1.5,1,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lucas Lorente López",1,0,0,3,1,0,2.33,,1,,2,0,,,,,,,,,,10,18,0,10,0.56,1,0,,,,,,,,,,,0,1,0,0
"Bert Dufraing",1,,,,,,,,,,,,1,,1,,2,0,2,0.5,0.5,,,,,,1,0,,,,,,,,,,,,,,
"total_b",1,0,5,22,0.77,-0.23,2.18,,6,6,10,0,5,2,7,,17,3,1.86,0.36,0.5,7,23,0,7,0.3,7,1,10,4,28,0.21,0.25,0.17,0.36,10,0.14,0,,,,
"total_a",1,3,4,24,0.83,-0.04,1.81,3,7,2,9,0,5,6,6,,17,0,1.94,0.29,0.65,12,24,1,12,0.5,10,1,13,6,24,0.29,0.47,0,0.54,13,0.25,0,2,6,0,2
